('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954187 function calls (928762 primitive calls) in 4.723 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       64    0.000    0.000    0.739    0.012 client.py:606(_safe_read)
       64    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       64    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       63    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       62    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 re.py:270(escape)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
       62    0.000    0.000    0.001    0.000 parse.py:372(urlparse)
       61    0.000    0.000    0.000    0.000 dammit.py:229(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       60    0.000    0.000    0.000    0.000 typing.py:556(__eq__)
       57    0.000    0.000    0.000    0.000 _collections_abc.py:761(get)
       57    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       57    0.000    0.000    0.000    0.000 element.py:2508(__eq__)
       57    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       56    0.000    0.000    0.002    0.000 css_parser.py:1106(<listcomp>)
    56/16    0.000    0.000    0.010    0.001 css_parser.py:925(parse_selectors)
       53    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
       53    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       53    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       52    0.000    0.000    0.001    0.000 typing.py:831(copy_with)
       50    0.000    0.000    0.000    0.000 _collections_abc.py:411(__subclasshook__)
       49    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
       49    0.000    0.000    0.000    0.000 typing_extensions.py:3216(<listcomp>)
       48    0.000    0.000    0.000    0.000 typing.py:216(_deduplicate)
       48    0.000    0.000    0.000    0.000 typing.py:230(_remove_dups_flatten)
       48    0.000    0.000    0.002    0.000 typing.py:431(Union)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
       45    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       45    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       45    0.000    0.000    0.749    0.017 response.py:607(stream)
       45    0.000    0.000    0.749    0.017 models.py:816(generate)
       44    0.000    0.000    0.000    0.000 typing.py:564(__hash__)
       44    0.000    0.000    0.001    0.000 typing.py:822(__getitem__)
       44    0.000    0.000    0.000    0.000 __init__.py:595(__missing__)
       44    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
